ATC,DB,Farmaco
L01BC05,DB00441,GEMCITABINA
J01GB03,DB00798,GENTAMICINA
G03AA10,DB06730,GESTODENO/ETINILESTRADIOL
L01EX13,DB12141,GILTERITINIB
L03AX13,DB05259,GLATIRAMER
J05AP57,DB13879,GLECAPREVIR/PIBRENTASVIR
A10BB01,DB01016,GLIBENCLAMIDA
A06AX01,DB08909,GLICEROL
A10BB09,DB01120,GLICLAZIDA
A10BB12,DB00222,GLIMEPIRIDA
A10BD02,DB00222,GLIMEPIRIDA/METFORMINA
L04AA04,DB00098,GLOBULINA ANTITIMOCITICA
L04AB06,DB06674,GOLIMUMAB
G03GA01,DB00097,GONADOTROFINA CORIONICA
G03GA02,DB00644,GONADOTROFINAS POSTMENOPAUSICAS
L02AE03,DB00014,GOSERELINA
A04AA02,DB00889,GRANISETRON
A03AX,DB13329,GUAIAZULENO/DIMETICONA
L04AC16,DB11834,GUSELKUMAB
N05AD01,DB00502,HALOPERIDOL
B06AC01,DB03404,HEMINA HUMANA
B01AB01,DB01109,HEPARINA
S01XA20,DB08818,HIALURONATO DE SODIO
C02DB02,DB01275,HIDRALAZINA
C03AA03,DB00999,HIDROCLOROTIAZIDA
H02AB09,DB00741,HIDROCORTISONA
D11AX11,DB09526,HIDROQUINONA
L01XX05,DB01005,HIDROXICARBAMIDA
P01BA02,DB01611,HIDROXICLOROQUINA
A02AF02,DB08938,HIDROXIDO DE ALUMINIO/HIDROXIDO DE MAGNESIO/DIMETICONA
G03DA03,DB06789,HIDROXIPROGESTERONA
N05BB01,DB00557,HIDROXIZINA
B03BA03,DB00200,HIDROXOCOBALAMINA
A11DB,DB00200,HIDROXOCOBALAMINA/TIAMINA/PIRIDOXINA
B03AA,DB01592,HIERRO
B03AC06,DB00893,HIERRO DEXTRAN
S01XA20,DB11075,HIPROMELOSA
L01EL01,DB09053,IBRUTINIB
M01AE01,DB01050,IBUPROFENO
B06AC02,DB06196,ICATIBANT
L01DB06,DB01177,IDARUBICINA
V03AB37,DB09264,IDARUCIZUMAB
A16AB09,DB01271,IDURSULFASA
L01AA06,DB01181,IFOSFAMIDA
B01AC11,DB01088,ILOPROST
L01EA01,DB00619,IMATINIB
A16AB02,DB00053,IMIGLUCERASA
J01DH51,DB01598,IMIPENEM/CILASTATINA
N06AA02,DB00458,IMIPRAMINA
D06BB10,DB00724,IMIQUIMOD
C10AX16,DB14901,INCLISIRAN
R03AL04,DB05039,INDACATEROL/GLICOPIRRONIO
M01AB01,DB00328,INDOMETACINA
L04AB02,DB00065,INFLIXIMAB
